,ds,holiday
0,2020-03-21,COVID_19
1,2020-03-22,COVID_19
2,2020-03-23,COVID_19
3,2020-03-24,COVID_19
4,2020-03-25,COVID_19
5,2020-03-26,COVID_19
6,2020-03-27,COVID_19
7,2020-03-28,COVID_19
8,2020-03-29,COVID_19
9,2020-03-30,COVID_19
10,2020-03-31,COVID_19
11,2020-04-01,COVID_19
12,2020-04-02,COVID_19
13,2020-04-03,COVID_19
14,2020-04-04,COVID_19
15,2020-04-05,COVID_19
16,2020-04-06,COVID_19
17,2020-04-07,COVID_19
18,2020-04-08,COVID_19
19,2020-04-09,COVID_19
20,2020-04-10,COVID_19
21,2020-04-11,COVID_19
22,2020-04-12,COVID_19
23,2020-04-13,COVID_19
24,2020-04-14,COVID_19
25,2020-04-15,COVID_19
26,2020-04-16,COVID_19
27,2020-04-17,COVID_19
28,2020-04-18,COVID_19
29,2020-04-19,COVID_19
30,2020-04-20,COVID_19
31,2020-04-21,COVID_19
32,2020-04-22,COVID_19
33,2020-04-23,COVID_19
34,2020-04-24,COVID_19
35,2020-04-25,COVID_19
36,2020-04-26,COVID_19
37,2020-04-27,COVID_19
38,2020-04-28,COVID_19
39,2020-04-29,COVID_19
40,2020-04-30,COVID_19
41,2020-05-01,COVID_19
42,2020-05-02,COVID_19
43,2020-05-03,COVID_19
44,2020-05-04,COVID_19
45,2020-05-05,COVID_19
46,2020-05-06,COVID_19
47,2020-05-07,COVID_19
48,2020-05-08,COVID_19
49,2020-05-09,COVID_19
50,2020-05-10,COVID_19
51,2020-05-11,COVID_19
52,2020-05-12,COVID_19
53,2020-05-13,COVID_19
54,2020-05-14,COVID_19
55,2020-05-15,COVID_19
56,2020-05-16,COVID_19
57,2020-05-17,COVID_19
58,2020-05-18,COVID_19
59,2020-05-19,COVID_19
60,2020-05-20,COVID_19
61,2020-05-21,COVID_19
62,2020-05-22,COVID_19
63,2020-05-23,COVID_19
64,2020-05-24,COVID_19
65,2020-05-25,COVID_19
66,2020-05-26,COVID_19
67,2020-05-27,COVID_19
68,2020-05-28,COVID_19
69,2020-05-29,COVID_19
70,2020-05-30,COVID_19
71,2020-05-31,COVID_19
72,2020-06-01,COVID_19
73,2020-06-02,COVID_19
74,2020-06-03,COVID_19
75,2020-06-04,COVID_19
76,2020-06-05,COVID_19
77,2020-06-06,COVID_19
78,2020-06-07,COVID_19
79,2020-06-08,COVID_19
80,2020-06-09,COVID_19
81,2020-06-10,COVID_19
82,2020-06-11,COVID_19
83,2020-06-12,COVID_19
84,2020-06-13,COVID_19
85,2020-06-14,COVID_19
86,2020-06-15,COVID_19
