,ds,Valor
0,2020-05-02,618.296461
1,2020-05-03,618.296461
2,2020-05-04,610.405257
3,2020-05-05,610.150464
4,2020-05-06,595.955917
5,2020-05-07,595.864222
6,2020-05-08,596.5371
7,2020-05-09,605.467368
8,2020-05-10,605.467368
9,2020-05-11,598.596107
10,2020-05-12,592.989605
11,2020-05-13,591.157584
12,2020-05-14,596.033252
13,2020-05-15,595.892062
14,2020-05-16,596.735437
15,2020-05-17,596.735437
16,2020-05-18,603.573045
17,2020-05-19,625.030318
18,2020-05-20,627.104516
19,2020-05-21,632.86421
20,2020-05-22,630.669825
21,2020-05-23,631.602194
22,2020-05-24,631.602194
23,2020-05-25,631.161631
24,2020-05-26,632.703023
25,2020-05-27,643.224487
26,2020-05-28,649.378652
27,2020-05-29,643.945257
28,2020-05-30,644.578493
29,2020-05-31,644.578493
30,2020-06-01,645.665678
31,2020-06-02,643.333002
32,2020-06-03,648.176577
33,2020-06-04,648.258784
34,2020-06-05,645.543143
35,2020-06-06,645.574559
36,2020-06-07,662.263089
37,2020-06-08,666.717555
38,2020-06-09,676.096996
39,2020-06-10,679.082016
40,2020-06-11,677.664095
41,2020-06-12,675.506682
42,2020-06-13,675.401645
43,2020-06-14,674.915444
44,2020-06-15,679.867544
45,2020-06-16,674.230016
46,2020-06-17,674.573696
47,2020-06-18,674.480929
48,2020-06-19,672.686157
49,2020-06-20,672.556795
50,2020-06-21,672.769798
51,2020-06-22,683.527096
52,2020-06-23,682.789116
53,2020-06-24,658.767682
54,2020-06-25,656.42781
55,2020-06-26,649.254505
56,2020-06-27,649.254505
57,2020-06-28,649.593511
58,2020-06-29,651.286082
59,2020-06-30,650.440181
60,2020-07-01,657.643595
61,2020-07-02,656.971242
62,2020-07-03,657.237656
63,2020-07-04,657.101447
64,2020-07-05,657.120715
65,2020-07-06,651.955877
66,2020-07-07,648.870228
67,2020-07-08,648.23044
68,2020-07-09,652.361684
69,2020-07-10,647.761668
70,2020-07-11,647.727295
71,2020-07-12,648.645815
72,2020-07-13,650.323553
73,2020-07-14,660.353121
74,2020-07-15,659.777905
75,2020-07-16,645.5295
76,2020-07-17,652.067805
77,2020-07-18,652.067805
78,2020-07-19,652.426104
79,2020-07-20,647.31098
80,2020-07-21,645.173645
81,2020-07-22,645.94731
82,2020-07-23,647.377274
83,2020-07-24,654.79024
84,2020-07-25,654.815504
85,2020-07-26,654.609591
86,2020-07-27,660.833631
87,2020-07-28,651.095874
88,2020-07-29,657.805758
89,2020-07-30,655.110081
90,2020-07-31,651.273731
91,2020-08-01,651.273731
92,2020-08-02,680.518929
93,2020-08-03,685.36671
94,2020-08-04,687.538309
95,2020-08-05,688.17745
96,2020-08-06,694.625144
97,2020-08-07,686.700521
98,2020-08-08,686.700521
99,2020-08-09,685.964077
100,2020-08-10,685.710378
101,2020-08-11,699.093298
102,2020-08-12,694.330885
103,2020-08-13,696.073412
104,2020-08-14,697.520274
105,2020-08-15,697.517383
106,2020-08-16,697.486058
107,2020-08-17,684.426524
108,2020-08-18,689.103367
109,2020-08-19,684.015885
110,2020-08-20,684.138116
111,2020-08-21,694.733705
112,2020-08-22,694.704164
113,2020-08-23,695.105046
114,2020-08-24,694.665903
115,2020-08-25,700.371616
116,2020-08-26,703.055582
117,2020-08-27,701.249407
118,2020-08-28,710.37431
119,2020-08-29,710.37431
120,2020-08-30,710.592104
121,2020-08-31,717.079541
122,2020-09-01,721.347358
123,2020-09-02,722.568871
124,2020-09-03,722.10721
125,2020-09-04,721.58993
126,2020-09-05,721.58993
127,2020-09-06,736.414882
128,2020-09-07,734.899162
129,2020-09-08,727.905565
130,2020-09-09,738.269099
131,2020-09-10,741.877158
132,2020-09-11,743.027073
133,2020-09-12,743.146266
134,2020-09-13,720.728222
135,2020-09-14,742.250694
136,2020-09-15,738.138305
137,2020-09-16,740.227542
138,2020-09-17,742.521479
139,2020-09-18,732.190723
140,2020-09-19,732.230906
141,2020-09-20,732.740203
142,2020-09-21,728.163377
143,2020-09-22,729.289626
144,2020-09-23,726.522551
145,2020-09-24,727.293953
146,2020-09-25,724.608182
147,2020-09-26,724.642443
148,2020-09-27,729.134949
149,2020-09-28,722.565084
150,2020-09-29,733.316523
151,2020-09-30,732.433853
152,2020-10-01,740.520581
153,2020-10-02,738.764599
154,2020-10-03,738.774056
155,2020-10-04,738.651108
156,2020-10-05,745.829196
157,2020-10-06,743.616522
158,2020-10-07,749.363629
159,2020-10-08,756.551059
160,2020-10-09,762.192608
161,2020-10-10,762.292431
162,2020-10-11,761.399011
163,2020-10-12,760.979689
164,2020-10-13,756.45056
165,2020-10-14,755.461295
166,2020-10-15,756.564577
167,2020-10-16,757.257176
168,2020-10-17,757.162564
169,2020-10-18,757.359577
170,2020-10-19,766.577478
171,2020-10-20,770.463874
172,2020-10-21,775.752416
173,2020-10-22,776.79606
174,2020-10-23,779.245424
175,2020-10-24,779.389997
176,2020-10-25,778.049649
177,2020-10-26,777.316548
178,2020-10-27,777.363079
179,2020-10-28,780.424327
180,2020-10-29,773.636953
181,2020-10-30,777.006421
182,2020-10-31,777.144611
183,2020-11-01,774.936685
184,2020-11-02,774.884602
185,2020-11-03,782.122425
186,2020-11-04,774.803029
187,2020-11-05,786.383615
188,2020-11-06,789.758256
189,2020-11-07,789.774902
190,2020-11-08,790.737147
191,2020-11-09,786.015422
192,2020-11-10,786.909694
193,2020-11-11,784.138641
194,2020-11-12,786.806512
195,2020-11-13,788.732981
196,2020-11-14,788.732981
197,2020-11-15,788.862916
198,2020-11-16,790.088993
199,2020-11-17,790.160748
200,2020-11-18,787.745733
201,2020-11-19,788.056575
202,2020-11-20,787.068142
203,2020-11-21,787.077894
204,2020-11-22,776.030134
205,2020-11-23,774.754701
206,2020-11-24,774.637732
207,2020-11-25,781.459935
208,2020-11-26,769.800689
209,2020-11-27,780.75919
210,2020-11-28,780.808182
211,2020-11-29,781.055855
212,2020-11-30,781.24367
213,2020-12-01,790.528154
214,2020-12-02,793.178822
215,2020-12-03,795.826193
216,2020-12-04,792.320097
217,2020-12-05,792.320097
218,2020-12-06,792.622027
219,2020-12-07,791.498274
220,2020-12-08,791.218582
221,2020-12-09,791.554283
222,2020-12-10,800.710811
223,2020-12-11,798.746169
224,2020-12-12,798.752747
225,2020-12-13,800.350919
226,2020-12-14,798.356767
227,2020-12-15,794.998371
228,2020-12-16,798.025918
229,2020-12-17,802.621195
230,2020-12-18,803.167255
231,2020-12-19,803.167255
232,2020-12-20,801.447086
233,2020-12-21,801.032338
234,2020-12-22,797.110675
235,2020-12-23,798.815581
236,2020-12-24,798.416143
237,2020-12-25,798.930749
238,2020-12-26,798.930749
239,2020-12-27,798.762129
240,2020-12-28,800.040306
241,2020-12-29,802.984744
242,2020-12-30,805.433546
243,2020-12-31,798.958286
244,2021-01-01,796.493364
245,2021-01-02,793.823043
246,2021-01-03,800.305051
247,2021-01-04,696.071643
248,2021-01-05,806.074541
249,2021-01-06,808.913035
250,2021-01-07,797.21119
251,2021-01-08,798.866398
252,2021-01-09,799.209238
253,2021-01-10,798.729154
254,2021-01-11,799.043185
255,2021-01-12,802.523527
256,2021-01-13,799.308868
257,2021-01-14,798.999598
258,2021-01-15,793.953414
259,2021-01-16,794.229574
260,2021-01-17,793.47848
261,2021-01-18,794.089805
262,2021-01-19,796.084357
263,2021-01-20,794.695124
264,2021-01-21,798.489858
265,2021-01-22,799.548083
266,2021-01-23,799.548083
267,2021-01-24,799.112546
268,2021-01-25,797.51095
269,2021-01-26,796.704889
270,2021-01-27,793.957591
271,2021-01-28,794.800464
272,2021-01-29,795.830118
273,2021-01-30,795.817029
274,2021-01-31,795.280532
275,2021-02-01,791.527241
276,2021-02-02,790.345688
277,2021-02-03,780.811333
278,2021-02-04,781.756637
279,2021-02-05,787.260829
280,2021-02-06,787.260829
281,2021-02-07,786.917883
282,2021-02-08,787.39229
283,2021-02-09,791.851223
284,2021-02-10,791.830314
285,2021-02-11,792.15306
286,2021-02-12,791.342771
287,2021-02-13,791.365599
288,2021-02-14,791.605849
289,2021-02-15,791.919345
290,2021-02-16,790.205888
291,2021-02-17,786.389809
292,2021-02-18,788.885256
293,2021-02-19,790.644497
294,2021-02-20,790.667348
