,Name,Description,Type,Team,Date
0,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-11
1,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-12
2,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-13
3,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-14
4,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-15
5,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-16
6,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-17
7,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-18
8,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-19
9,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-20
10,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-21
11,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-22
12,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-23
13,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-24
14,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-25
15,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-26
16,Tarefa: Organizar produtos (Team: Dynamic),Melhorar o acesso aos produtos.,Gestão de Produtos,Dynamic,2021-02-27
