,ds,Valor
0,2020-05-02,557.299978
1,2020-05-03,557.299978
2,2020-05-04,557.300128
3,2020-05-05,559.309766
4,2020-05-06,549.76976
5,2020-05-07,551.90499
6,2020-05-08,550.229763
7,2020-05-09,551.904989
8,2020-05-10,551.904989
9,2020-05-11,551.904948
10,2020-05-12,548.426142
11,2020-05-13,544.999907
12,2020-05-14,551.432815
13,2020-05-15,551.430242
14,2020-05-16,551.429952
15,2020-05-17,551.429952
16,2020-05-18,557.894847
17,2020-05-19,572.986
18,2020-05-20,572.985989
19,2020-05-21,577.473
20,2020-05-22,577.324995
21,2020-05-23,579.424975
22,2020-05-24,579.424975
23,2020-05-25,579.424791
24,2020-05-26,579.424903
25,2020-05-27,586.963989
26,2020-05-28,589.667184
27,2020-05-29,580.442
28,2020-05-30,580.439886
29,2020-05-31,580.439886
30,2020-06-01,579.999837
31,2020-06-02,575.780685
32,2020-06-03,577.055112
33,2020-06-04,571.734923
34,2020-06-05,571.735012
35,2020-06-06,571.734986
36,2020-06-07,585.984336
37,2020-06-08,590.279855
38,2020-06-09,596.254889
39,2020-06-10,596.864
40,2020-06-11,599.764838
41,2020-06-12,600.069007
42,2020-06-13,600.068985
43,2020-06-14,600.068856
44,2020-06-15,600.069148
45,2020-06-16,598.816822
46,2020-06-17,599.90155
47,2020-06-18,601.713866
48,2020-06-19,601.713992
49,2020-06-20,601.713998
50,2020-06-21,601.713994
51,2020-06-22,606.329793
52,2020-06-23,603.8
53,2020-06-24,585.440134
54,2020-06-25,584.910249
55,2020-06-26,578.732996
56,2020-06-27,578.732996
57,2020-06-28,578.732879
58,2020-06-29,578.974999
59,2020-06-30,578.924997
60,2020-07-01,584.449999
61,2020-07-02,584.39988
62,2020-07-03,584.349935
63,2020-07-04,584.349886
64,2020-07-05,584.349872
65,2020-07-06,576.413947
66,2020-07-07,575.555915
67,2020-07-08,572.0
68,2020-07-09,577.959255
69,2020-07-10,573.209978
70,2020-07-11,573.209996
71,2020-07-12,573.210206
72,2020-07-13,573.210163
73,2020-07-14,578.793074
74,2020-07-15,578.13283
75,2020-07-16,567.0
76,2020-07-17,570.512975
77,2020-07-18,570.512975
78,2020-07-19,570.51299
79,2020-07-20,565.514904
80,2020-07-21,559.429834
81,2020-07-22,558.294996
82,2020-07-23,557.96024
83,2020-07-24,561.759979
84,2020-07-25,561.759966
85,2020-07-26,561.760183
86,2020-07-27,561.759959
87,2020-07-28,555.515063
88,2020-07-29,557.916878
89,2020-07-30,552.919966
90,2020-07-31,552.919803
91,2020-08-01,552.919803
92,2020-08-02,576.974996
93,2020-08-03,582.762115
94,2020-08-04,582.74996
95,2020-08-05,579.635
96,2020-08-06,584.634864
97,2020-08-07,582.500007
98,2020-08-08,582.500007
99,2020-08-09,582.499868
100,2020-08-10,583.999804
101,2020-08-11,595.296253
102,2020-08-12,589.019999
103,2020-08-13,589.020174
104,2020-08-14,588.999974
105,2020-08-15,589.000019
106,2020-08-16,588.999928
107,2020-08-17,576.431991
108,2020-08-18,577.153
109,2020-08-19,577.15018
110,2020-08-20,576.58
111,2020-08-21,588.981989
112,2020-08-22,588.981911
113,2020-08-23,588.982228
114,2020-08-24,588.979933
115,2020-08-25,591.85
116,2020-08-26,593.965
117,2020-08-27,593.336859
118,2020-08-28,596.69998
119,2020-08-29,596.69998
120,2020-08-30,596.699979
121,2020-08-31,600.71
122,2020-09-01,605.2501
123,2020-09-02,609.553917
124,2020-09-03,609.554239
125,2020-09-04,609.55392
126,2020-09-05,609.55392
127,2020-09-06,621.947865
128,2020-09-07,621.945205
129,2020-09-08,618.597001
130,2020-09-09,625.164892
131,2020-09-10,627.259848
132,2020-09-11,627.259972
133,2020-09-12,627.259984
134,2020-09-13,608.413815
135,2020-09-14,625.429791
136,2020-09-15,622.999836
137,2020-09-16,626.469989
138,2020-09-17,626.469824
139,2020-09-18,618.419996
140,2020-09-19,618.419984
141,2020-09-20,618.419747
142,2020-09-21,618.940758
143,2020-09-22,622.950164
144,2020-09-23,622.950224
145,2020-09-24,623.000013
146,2020-09-25,622.999997
147,2020-09-26,622.999994
148,2020-09-27,626.803078
149,2020-09-28,619.200146
150,2020-09-29,624.377083
151,2020-09-30,624.377253
152,2020-10-01,630.512
153,2020-10-02,630.511995
154,2020-10-03,630.511994
155,2020-10-04,630.511996
156,2020-10-05,632.700993
157,2020-10-06,633.710252
158,2020-10-07,636.729926
159,2020-10-08,643.087854
160,2020-10-09,644.326045
161,2020-10-10,644.326004
162,2020-10-11,644.326225
163,2020-10-12,644.127272
164,2020-10-13,644.129785
165,2020-10-14,643.34
166,2020-10-15,646.318755
167,2020-10-16,646.31909
168,2020-10-17,646.318877
169,2020-10-18,646.600196
170,2020-10-19,651.385214
171,2020-10-20,651.384859
172,2020-10-21,654.11899
173,2020-10-22,657.017777
174,2020-10-23,657.019994
175,2020-10-24,657.020019
176,2020-10-25,657.019996
177,2020-10-26,658.324968
178,2020-10-27,659.874979
179,2020-10-28,664.270064
180,2020-10-29,662.941046
181,2020-10-30,665.506184
182,2020-10-31,665.505982
183,2020-11-01,665.506174
184,2020-11-02,665.675252
185,2020-11-03,666.875075
186,2020-11-04,660.994909
187,2020-11-05,665.1101
188,2020-11-06,665.109992
189,2020-11-07,665.110008
190,2020-11-08,665.109865
191,2020-11-09,665.112023
192,2020-11-10,665.784797
193,2020-11-11,665.784749
194,2020-11-12,666.400023
195,2020-11-13,666.396003
196,2020-11-14,666.396003
197,2020-11-15,666.395992
198,2020-11-16,666.395915
199,2020-11-17,666.072169
200,2020-11-18,664.663931
201,2020-11-19,663.820006
202,2020-11-20,663.820001
203,2020-11-21,663.819828
204,2020-11-22,654.3802
205,2020-11-23,654.375187
206,2020-11-24,651.374818
207,2020-11-25,655.847442
208,2020-11-26,646.319967
209,2020-11-27,652.64498
210,2020-11-28,652.645017
211,2020-11-29,652.644739
212,2020-11-30,654.816868
213,2020-12-01,654.816732
214,2020-12-02,654.817247
215,2020-12-03,655.333773
216,2020-12-04,653.564983
217,2020-12-05,653.564983
218,2020-12-06,653.564969
219,2020-12-07,653.564742
220,2020-12-08,653.570169
221,2020-12-09,655.221658
222,2020-12-10,659.490214
223,2020-12-11,659.494009
224,2020-12-12,659.493995
225,2020-12-13,659.494175
226,2020-12-14,657.32126
227,2020-12-15,654.230801
228,2020-12-16,654.231146
229,2020-12-17,654.231111
230,2020-12-18,655.28299
231,2020-12-19,655.28299
232,2020-12-20,655.282948
233,2020-12-21,654.445135
234,2020-12-22,655.279923
235,2020-12-23,655.283039
236,2020-12-24,655.282735
237,2020-12-25,655.282907
238,2020-12-26,655.282907
239,2020-12-27,655.282732
240,2020-12-28,655.28304
241,2020-12-29,655.283245
242,2020-12-30,654.91081
243,2020-12-31,654.159975
244,2021-01-01,654.159937
245,2021-01-02,654.159904
246,2021-01-03,654.159853
247,2021-01-04,568.193456
248,2021-01-05,655.515163
249,2021-01-06,656.133099
250,2021-01-07,649.939988
251,2021-01-08,653.750198
252,2021-01-09,653.749888
253,2021-01-10,653.750233
254,2021-01-11,657.499895
255,2021-01-12,657.50221
256,2021-01-13,657.502102
257,2021-01-14,657.501901
258,2021-01-15,657.50202
259,2021-01-16,657.502027
260,2021-01-17,656.937339
261,2021-01-18,657.500081
262,2021-01-19,656.37982
263,2021-01-20,656.229949
264,2021-01-21,656.229748
265,2021-01-22,656.739975
266,2021-01-23,656.739975
267,2021-01-24,656.739878
268,2021-01-25,656.743822
269,2021-01-26,655.099822
270,2021-01-27,655.670191
271,2021-01-28,655.667764
272,2021-01-29,655.667975
273,2021-01-30,655.667995
274,2021-01-31,655.667863
275,2021-02-01,656.211779
276,2021-02-02,656.212015
277,2021-02-03,648.844747
278,2021-02-04,653.379901
279,2021-02-05,653.38
280,2021-02-06,653.38
281,2021-02-07,653.380065
282,2021-02-08,653.380109
283,2021-02-09,653.379791
284,2021-02-10,653.374938
285,2021-02-11,652.915015
286,2021-02-12,652.914998
287,2021-02-13,652.914978
288,2021-02-14,652.914959
289,2021-02-15,652.915039
290,2021-02-16,652.914867
291,2021-02-17,652.910161
292,2021-02-18,652.454965
293,2021-02-19,652.459995
294,2021-02-20,652.460007
295,2021-02-21,652.460194
296,2021-02-22,651.72299
297,2021-02-23,647.999984
298,2021-02-24,649.819887
299,2021-02-25,649.823072
300,2021-02-26,649.822934
301,2021-02-27,649.822994
302,2021-02-28,635.950083
303,2021-03-01,629.940942
304,2021-03-02,629.59486
305,2021-03-03,624.500031
306,2021-03-04,626.41426
307,2021-03-05,624.233996
308,2021-03-06,624.233996
309,2021-03-07,624.234032
310,2021-03-08,618.300031
311,2021-03-09,618.296059
312,2021-03-10,619.917887
313,2021-03-11,619.918167
314,2021-03-12,619.918193
315,2021-03-13,619.91797
316,2021-03-14,619.917998
317,2021-03-15,619.920192
318,2021-03-16,620.32
319,2021-03-17,614.500053
320,2021-03-18,617.0
321,2021-03-19,616.999962
322,2021-03-20,616.999962
323,2021-03-21,616.999991
324,2021-03-22,626.172183
325,2021-03-23,623.0
326,2021-03-24,623.500224
327,2021-03-25,626.169812
328,2021-03-26,626.169735
329,2021-03-27,626.169735
330,2021-03-28,626.17
331,2021-03-29,626.17
332,2021-03-30,626.149901
333,2021-03-31,629.979077
334,2021-04-01,629.979933
335,2021-04-02,629.979988
336,2021-04-03,629.980003
337,2021-04-04,628.713637
338,2021-04-05,627.816581
339,2021-04-06,629.979871
340,2021-04-07,628.315077
341,2021-04-08,628.145258
342,2021-04-09,628.146996
343,2021-04-10,628.146995
344,2021-04-11,628.146898
345,2021-04-12,628.15
346,2021-04-13,634.44
347,2021-04-14,643.789979
348,2021-04-15,647.70896
349,2021-04-16,650.910987
350,2021-04-17,650.910995
351,2021-04-18,650.910887
352,2021-04-19,651.494849
353,2021-04-20,657.780163
354,2021-04-21,658.613143
355,2021-04-22,656.414136
356,2021-04-23,656.413997
357,2021-04-24,656.413988
358,2021-04-25,656.413996
359,2021-04-26,656.414249
360,2021-04-27,656.28479
361,2021-04-28,655.632
362,2021-04-29,654.981029
363,2021-04-30,654.981011
364,2021-05-01,654.981012
365,2021-05-02,654.330994
366,2021-05-03,654.302657
367,2021-05-04,654.273995
368,2021-05-05,654.274272
369,2021-05-06,654.112581
370,2021-05-07,654.112489
371,2021-05-08,654.112489
372,2021-05-09,654.112576
373,2021-05-10,654.27399
374,2021-05-11,654.274184
375,2021-05-12,654.27382
376,2021-05-13,654.274154
377,2021-05-14,654.334764
378,2021-05-15,654.334497
379,2021-05-16,654.334754
380,2021-05-17,654.022596
381,2021-05-18,654.022382
382,2021-05-19,654.022715
383,2021-05-20,648.500265
384,2021-05-21,648.499996
385,2021-05-22,648.499996
386,2021-05-23,651.062427
387,2021-05-24,643.242192
388,2021-05-25,643.120742
389,2021-05-26,643.120923
390,2021-05-27,642.220768
391,2021-05-28,642.220742
392,2021-05-29,642.221019
393,2021-05-30,642.220995
394,2021-05-31,642.0
395,2021-06-01,641.99999
396,2021-06-02,641.99999
397,2021-06-03,641.999857
398,2021-06-04,641.999983
399,2021-06-05,642.000031
400,2021-06-06,641.999867
401,2021-06-07,641.99999
402,2021-06-08,641.999904
403,2021-06-09,641.99975
404,2021-06-10,642.000239
405,2021-06-11,642.000028
406,2021-06-12,642.000028
407,2021-06-13,642.000224
408,2021-06-14,641.999799
409,2021-06-15,642.000228
410,2021-06-16,642.0
411,2021-06-17,641.99999
412,2021-06-18,641.999974
413,2021-06-19,642.00002
414,2021-06-20,642.0
415,2021-06-21,642.000164
416,2021-06-22,649.703975
417,2021-06-23,648.080098
418,2021-06-24,648.0
419,2021-06-25,647.999988
420,2021-06-26,647.999992
421,2021-06-27,648.000218
422,2021-06-28,647.189737
423,2021-06-29,646.283812
424,2021-06-30,646.000272
425,2021-07-01,645.096
426,2021-07-02,645.000006
427,2021-07-03,645.000006
428,2021-07-04,644.99997
429,2021-07-05,644.999885
430,2021-07-06,644.049197
431,2021-07-07,643.573954
432,2021-07-08,643.573813
433,2021-07-09,643.123996
434,2021-07-10,643.123968
435,2021-07-11,643.124197
436,2021-07-12,643.061734
437,2021-07-13,643.000181
438,2021-07-14,643.000008
439,2021-07-15,642.974999
440,2021-07-16,642.974965
441,2021-07-17,642.974989
442,2021-07-18,642.550068
443,2021-07-19,641.471999
444,2021-07-20,640.413999
445,2021-07-21,639.872998
446,2021-07-22,639.873131
447,2021-07-23,639.830969
448,2021-07-24,639.666498
449,2021-07-25,639.973354
450,2021-07-26,638.817654
451,2021-07-27,638.32155
452,2021-07-28,638.86076
453,2021-07-29,638.304397
454,2021-07-30,638.349492
455,2021-07-31,637.944911
456,2021-08-01,638.126716
457,2021-08-02,638.537057
458,2021-08-03,638.246179
459,2021-08-04,638.382666
460,2021-08-05,638.572792
461,2021-08-06,638.409284
462,2021-08-07,638.354887
463,2021-08-08,638.018078
464,2021-08-09,637.671171
465,2021-08-10,637.99679
466,2021-08-11,637.693997
467,2021-08-12,637.718111
468,2021-08-13,637.437085
469,2021-08-14,637.383657
470,2021-08-15,638.0441
471,2021-08-16,637.385155
472,2021-08-17,637.165361
473,2021-08-18,636.868021
474,2021-08-19,636.174472
475,2021-08-20,636.3654
476,2021-08-21,636.322803
477,2021-08-22,636.498839
478,2021-08-23,635.56832
479,2021-08-24,635.563326
480,2021-08-25,635.976919
481,2021-08-26,634.480341
482,2021-08-27,634.216922
483,2021-08-28,634.216456
484,2021-08-29,634.433948
485,2021-08-30,634.031331
486,2021-08-31,634.22293
487,2021-09-01,633.868457
488,2021-09-02,633.57808
489,2021-09-03,632.57703
490,2021-09-04,632.972966
491,2021-09-05,632.90482
492,2021-09-06,632.793637
493,2021-09-07,632.669379
494,2021-09-08,628.230949
495,2021-09-09,627.467477
496,2021-09-10,625.168494
497,2021-09-11,625.036187
498,2021-09-12,625.244791
499,2021-09-13,623.658183
500,2021-09-14,622.005453
501,2021-09-15,619.263522
502,2021-09-16,616.434733
503,2021-09-17,616.31398
504,2021-09-18,616.518714
505,2021-09-19,617.200959
506,2021-09-20,615.401967
507,2021-09-21,612.183578
508,2021-09-22,607.051054
509,2021-09-23,603.305952
510,2021-09-24,600.444479
511,2021-09-25,600.607511
512,2021-09-26,600.705896
513,2021-09-27,600.488682
514,2021-09-28,600.524374
515,2021-09-29,599.580955
516,2021-09-30,599.012393
517,2021-10-01,598.977023
518,2021-10-02,598.861762
519,2021-10-03,598.731926
520,2021-10-04,598.573777
521,2021-10-05,598.571125
522,2021-10-06,598.531502
523,2021-10-07,598.911149
524,2021-10-08,598.286084
525,2021-10-09,598.135162
526,2021-10-10,597.94018
527,2021-10-11,597.875031
528,2021-10-12,598.002275
529,2021-10-13,597.716279
530,2021-10-14,597.288065
531,2021-10-15,597.310206
532,2021-10-16,597.587127
533,2021-10-17,597.316265
534,2021-10-18,597.270988
535,2021-10-19,596.525258
536,2021-10-20,596.682522
537,2021-10-21,596.847949
538,2021-10-22,596.857399
539,2021-10-23,596.786518
540,2021-10-24,597.154228
541,2021-10-25,596.723102
542,2021-10-26,596.904454
543,2021-10-27,596.979322
544,2021-10-28,597.063271
545,2021-10-29,596.847112
546,2021-10-30,596.696304
547,2021-10-31,596.878304
548,2021-11-01,597.061852
549,2021-11-02,596.602252
550,2021-11-03,596.573278
551,2021-11-04,596.820463
552,2021-11-05,596.649258
553,2021-11-06,596.689496
554,2021-11-07,596.779699
555,2021-11-08,596.301238
556,2021-11-09,597.031339
557,2021-11-10,596.710161
558,2021-11-11,596.590645
559,2021-11-12,596.711047
560,2021-11-13,598.698206
561,2021-11-14,598.67784
562,2021-11-15,596.2738
563,2021-11-16,596.916565
564,2021-11-17,596.351482
