,Store,Date,Sales,Customers,DayOfWeek,Year,Month,Day
12349,17,2015-07-31,8430,946,5,2015,7,31
12350,17,2015-07-30,7555,850,4,2015,7,30
12351,17,2015-07-29,7179,861,3,2015,7,29
12352,17,2015-07-28,9316,983,2,2015,7,28
12353,17,2015-07-27,8293,904,1,2015,7,27
12354,17,2015-07-25,2572,357,6,2015,7,25
12355,17,2015-07-24,4443,657,5,2015,7,24
12356,17,2015-07-23,5328,731,4,2015,7,23
12357,17,2015-07-22,4952,674,3,2015,7,22
12358,17,2015-07-21,5847,759,2,2015,7,21
12359,17,2015-07-20,5908,824,1,2015,7,20
12360,17,2015-07-18,2608,334,6,2015,7,18
12361,17,2015-07-17,6243,739,5,2015,7,17
12362,17,2015-07-16,7231,835,4,2015,7,16
12363,17,2015-07-15,8172,909,3,2015,7,15
12364,17,2015-07-14,8241,970,2,2015,7,14
12365,17,2015-07-13,10029,1069,1,2015,7,13
12366,17,2015-07-11,3034,361,6,2015,7,11
12367,17,2015-07-10,5451,754,5,2015,7,10
12368,17,2015-07-09,5478,726,4,2015,7,9
12369,17,2015-07-08,5876,753,3,2015,7,8
12370,17,2015-07-07,5184,748,2,2015,7,7
12371,17,2015-07-06,5446,766,1,2015,7,6
12372,17,2015-07-04,2592,320,6,2015,7,4
12373,17,2015-07-03,5948,737,5,2015,7,3
12374,17,2015-07-02,6084,770,4,2015,7,2
12375,17,2015-07-01,6779,817,3,2015,7,1
12376,17,2015-06-30,11774,1230,2,2015,6,30
12377,17,2015-06-29,10474,1022,1,2015,6,29
12378,17,2015-06-27,2466,321,6,2015,6,27
12379,17,2015-06-26,4728,680,5,2015,6,26
12380,17,2015-06-25,4403,673,4,2015,6,25
12381,17,2015-06-24,4524,689,3,2015,6,24
12382,17,2015-06-23,5203,689,2,2015,6,23
12383,17,2015-06-22,4926,700,1,2015,6,22
12384,17,2015-06-20,2480,357,6,2015,6,20
12385,17,2015-06-19,6820,820,5,2015,6,19
12386,17,2015-06-18,7241,820,4,2015,6,18
12387,17,2015-06-17,7672,860,3,2015,6,17
12388,17,2015-06-16,8129,954,2,2015,6,16
12389,17,2015-06-15,10137,1036,1,2015,6,15
12390,17,2015-06-13,2491,314,6,2015,6,13
12391,17,2015-06-12,4759,677,5,2015,6,12
