Semana,Água: (Angola)
2018-10-21,63
2018-10-28,59
2018-11-04,55
2018-11-11,53
2018-11-18,51
2018-11-25,43
2018-12-02,53
2018-12-09,48
2018-12-16,44
2018-12-23,46
2018-12-30,46
2019-01-06,38
2019-01-13,55
2019-01-20,43
2019-01-27,38
2019-02-03,46
2019-02-10,50
2019-02-17,46
2019-02-24,59
2019-03-03,52
2019-03-10,55
2019-03-17,68
2019-03-24,70
2019-03-31,64
2019-04-07,68
2019-04-14,69
2019-04-21,60
2019-04-28,48
2019-05-05,50
2019-05-12,51
2019-05-19,69
2019-05-26,50
2019-06-02,62
2019-06-09,73
2019-06-16,63
2019-06-23,63
2019-06-30,57
2019-07-07,48
2019-07-14,59
2019-07-21,68
2019-07-28,52
2019-08-04,61
2019-08-11,49
2019-08-18,46
2019-08-25,53
2019-09-01,58
2019-09-08,73
2019-09-15,65
2019-09-22,71
2019-09-29,62
2019-10-06,57
2019-10-13,46
2019-10-20,74
2019-10-27,58
2019-11-03,65
2019-11-10,50
2019-11-17,53
2019-11-24,47
2019-12-01,50
2019-12-08,47
2019-12-15,40
2019-12-22,32
2019-12-29,52
2020-01-05,46
2020-01-12,51
2020-01-19,45
2020-01-26,46
2020-02-02,43
2020-02-09,52
2020-02-16,51
2020-02-23,52
2020-03-01,64
2020-03-08,72
2020-03-15,62
2020-03-22,53
2020-03-29,48
2020-04-05,64
2020-04-12,60
2020-04-19,61
2020-04-26,58
2020-05-03,51
2020-05-10,57
2020-05-17,62
2020-05-24,49
2020-05-31,43
2020-06-07,60
2020-06-14,45
2020-06-21,55
2020-06-28,51
2020-07-05,47
2020-07-12,52
2020-07-19,48
2020-07-26,56
2020-08-02,50
2020-08-09,49
2020-08-16,50
2020-08-23,52
2020-08-30,60
2020-09-06,51
2020-09-13,50
2020-09-20,59
2020-09-27,49
2020-10-04,45
2020-10-11,54
2020-10-18,60
2020-10-25,55
2020-11-01,57
2020-11-08,57
2020-11-15,56
2020-11-22,56
2020-11-29,54
2020-12-06,56
2020-12-13,48
2020-12-20,46
2020-12-27,47
2021-01-03,52
2021-01-10,66
2021-01-17,63
2021-01-24,60
2021-01-31,50
2021-02-07,63
2021-02-14,54
2021-02-21,58
2021-02-28,54
2021-03-07,44
2021-03-14,52
2021-03-21,57
2021-03-28,47
2021-04-04,48
2021-04-11,54
2021-04-18,60
2021-04-25,69
2021-05-02,64
2021-05-09,64
2021-05-16,68
2021-05-23,57
2021-05-30,51
2021-06-06,56
2021-06-13,53
2021-06-20,48
2021-06-27,48
2021-07-04,42
2021-07-11,51
2021-07-18,51
2021-07-25,43
2021-08-01,47
2021-08-08,50
2021-08-15,55
2021-08-22,49
2021-08-29,51
2021-09-05,47
2021-09-12,53
2021-09-19,59
2021-09-26,53
2021-10-03,53
2021-10-10,58
2021-10-17,62
2021-10-24,54
2021-10-31,54
2021-11-07,56
2021-11-14,58
2021-11-21,56
2021-11-28,61
2021-12-05,57
2021-12-12,48
2021-12-19,49
2021-12-26,45
2022-01-02,60
2022-01-09,58
2022-01-16,59
2022-01-23,64
2022-01-30,73
2022-02-06,62
2022-02-13,71
2022-02-20,64
2022-02-27,63
2022-03-06,74
2022-03-13,83
2022-03-20,78
2022-03-27,80
2022-04-03,69
2022-04-10,60
2022-04-17,70
2022-04-24,70
2022-05-01,74
2022-05-08,77
2022-05-15,83
2022-05-22,72
2022-05-29,70
2022-06-05,70
2022-06-12,68
2022-06-19,58
2022-06-26,60
2022-07-03,60
2022-07-10,45
2022-07-17,62
2022-07-24,48
2022-07-31,50
2022-08-07,53
2022-08-14,50
2022-08-21,59
2022-08-28,58
2022-09-04,57
2022-09-11,58
2022-09-18,63
2022-09-25,69
2022-10-02,67
2022-10-09,76
2022-10-16,70
2022-10-23,71
2022-10-30,59
2022-11-06,65
2022-11-13,69
2022-11-20,66
2022-11-27,59
2022-12-04,51
2022-12-11,65
2022-12-18,48
2022-12-25,48
2023-01-01,58
2023-01-08,66
2023-01-15,93
2023-01-22,80
2023-01-29,69
2023-02-05,57
2023-02-12,68
2023-02-19,60
2023-02-26,72
2023-03-05,60
2023-03-12,68
2023-03-19,64
2023-03-26,64
2023-04-02,54
2023-04-09,53
2023-04-16,60
2023-04-23,77
2023-04-30,79
2023-05-07,74
2023-05-14,79
2023-05-21,84
2023-05-28,67
2023-06-04,70
2023-06-11,67
2023-06-18,69
2023-06-25,67
2023-07-02,58
2023-07-09,59
2023-07-16,50
2023-07-23,53
2023-07-30,53
2023-08-06,47
2023-08-13,48
2023-08-20,54
2023-08-27,48
2023-09-03,54
2023-09-10,64
2023-09-17,71
2023-09-24,69
2023-10-01,60
2023-10-08,78
2023-10-15,100
