,Semana,Cebola Nacional,Ano,Mes
0,2018-10-21,41,2018,10
1,2018-10-28,40,2018,10
2,2018-11-04,25,2018,11
3,2018-11-11,21,2018,11
4,2018-11-18,13,2018,11
5,2018-11-25,39,2018,11
6,2018-12-02,31,2018,12
7,2018-12-09,36,2018,12
8,2018-12-16,50,2018,12
9,2018-12-23,65,2018,12
10,2018-12-30,33,2018,12
11,2019-01-06,61,2019,1
12,2019-01-13,62,2019,1
13,2019-01-20,13,2019,1
14,2019-01-27,34,2019,1
15,2019-02-03,11,2019,2
16,2019-02-10,0,2019,2
17,2019-02-17,31,2019,2
18,2019-02-24,27,2019,2
19,2019-03-03,36,2019,3
20,2019-03-10,30,2019,3
21,2019-03-17,38,2019,3
22,2019-03-24,23,2019,3
23,2019-03-31,70,2019,3
24,2019-04-07,35,2019,4
25,2019-04-14,25,2019,4
26,2019-04-21,43,2019,4
27,2019-04-28,46,2019,4
28,2019-05-05,13,2019,5
29,2019-05-12,11,2019,5
30,2019-05-19,34,2019,5
31,2019-05-26,47,2019,5
32,2019-06-02,31,2019,6
33,2019-06-09,50,2019,6
34,2019-06-16,12,2019,6
35,2019-06-23,31,2019,6
36,2019-06-30,35,2019,6
37,2019-07-07,32,2019,7
38,2019-07-14,36,2019,7
39,2019-07-21,47,2019,7
40,2019-07-28,77,2019,7
41,2019-08-04,17,2019,8
42,2019-08-11,35,2019,8
43,2019-08-18,71,2019,8
44,2019-08-25,18,2019,8
45,2019-09-01,0,2019,9
46,2019-09-08,33,2019,9
47,2019-09-15,38,2019,9
48,2019-09-22,43,2019,9
49,2019-09-29,52,2019,9
50,2019-10-06,100,2019,10
51,2019-10-13,65,2019,10
52,2019-10-20,32,2019,10
53,2019-10-27,27,2019,10
54,2019-11-03,53,2019,11
55,2019-11-10,40,2019,11
56,2019-11-17,37,2019,11
57,2019-11-24,50,2019,11
58,2019-12-01,47,2019,12
59,2019-12-08,36,2019,12
60,2019-12-15,37,2019,12
61,2019-12-22,34,2019,12
62,2019-12-29,27,2019,12
63,2020-01-05,45,2020,1
64,2020-01-12,41,2020,1
65,2020-01-19,16,2020,1
66,2020-01-26,40,2020,1
67,2020-02-02,40,2020,2
68,2020-02-09,52,2020,2
69,2020-02-16,36,2020,2
70,2020-02-23,97,2020,2
71,2020-03-01,49,2020,3
72,2020-03-08,41,2020,3
73,2020-03-15,42,2020,3
74,2020-03-22,65,2020,3
75,2020-03-29,38,2020,3
76,2020-04-05,65,2020,4
77,2020-04-12,55,2020,4
78,2020-04-19,68,2020,4
79,2020-04-26,40,2020,4
80,2020-05-03,49,2020,5
81,2020-05-10,56,2020,5
82,2020-05-17,53,2020,5
83,2020-05-24,70,2020,5
84,2020-05-31,49,2020,5
85,2020-06-07,65,2020,6
86,2020-06-14,46,2020,6
87,2020-06-21,63,2020,6
88,2020-06-28,72,2020,6
89,2020-07-05,53,2020,7
90,2020-07-12,56,2020,7
