Semana,Mamboo
2018-10-21,81
2018-10-28,41
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,78
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,35
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,44
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,100
2019-05-05,0
2019-05-12,33
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,41
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,34
2019-08-11,28
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,59
2019-10-13,0
2019-10-20,0
2019-10-27,48
2019-11-03,0
2019-11-10,51
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,39
2020-04-12,0
2020-04-19,0
2020-04-26,39
2020-05-03,48
2020-05-10,0
2020-05-17,44
2020-05-24,25
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,43
2020-08-09,0
2020-08-16,44
2020-08-23,0
2020-08-30,36
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,31
2020-11-15,0
2020-11-22,48
2020-11-29,0
2020-12-06,0
2020-12-13,39
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,23
2021-01-17,86
2021-01-24,0
2021-01-31,36
2021-02-07,0
2021-02-14,64
2021-02-21,0
2021-02-28,46
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,46
2021-04-25,0
2021-05-02,0
2021-05-09,34
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,33
2021-07-04,0
2021-07-11,34
2021-07-18,51
2021-07-25,73
2021-08-01,0
2021-08-08,36
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,20
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,52
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,50
2021-12-26,57
2022-01-02,0
2022-01-09,49
2022-01-16,0
2022-01-23,20
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,20
2022-02-27,0
2022-03-06,46
2022-03-13,18
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,13
2022-05-15,35
2022-05-22,31
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,37
2022-07-10,0
2022-07-17,20
2022-07-24,0
2022-07-31,67
2022-08-07,38
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,30
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,21
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,23
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,12
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,14
2023-03-12,0
2023-03-19,36
2023-03-26,0
2023-04-02,15
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,24
2023-05-14,13
2023-05-21,18
2023-05-28,17
2023-06-04,24
2023-06-11,14
2023-06-18,0
2023-06-25,17
2023-07-02,0
2023-07-09,20
2023-07-16,0
2023-07-23,58
2023-07-30,22
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,16
2023-10-01,25
2023-10-08,24
2023-10-15,0
