,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano novo,Ano novo_lower,Ano novo_upper,Carnaval,Carnaval_lower,Carnaval_upper,Carnaval (Day off),Carnaval (Day off)_lower,Carnaval (Day off)_upper,Dia Internacional da Mulher,Dia Internacional da Mulher_lower,Dia Internacional da Mulher_upper,Dia Internacional da Mulher (Day off),Dia Internacional da Mulher (Day off)_lower,Dia Internacional da Mulher (Day off)_upper,Dia Mundial do Trabalho,Dia Mundial do Trabalho_lower,Dia Mundial do Trabalho_upper,Dia da Independência,Dia da Independência_lower,Dia da Independência_upper,Dia da Independência (Day off),Dia da Independência (Day off)_lower,Dia da Independência (Day off)_upper,Dia da Libertação da África Austral,Dia da Libertação da África Austral_lower,Dia da Libertação da África Austral_upper,Dia da Libertação da África Austral (Day off),Dia da Libertação da África Austral (Day off)_lower,Dia da Libertação da África Austral (Day off)_upper,Dia da Paz e Reconciliação,Dia da Paz e Reconciliação_lower,Dia da Paz e Reconciliação_upper,Dia da Paz e Reconciliação (Day off),Dia da Paz e Reconciliação (Day off)_lower,Dia da Paz e Reconciliação (Day off)_upper,Dia de Natal e da Família,Dia de Natal e da Família_lower,Dia de Natal e da Família_upper,Dia do Herói Nacional,Dia do Herói Nacional_lower,Dia do Herói Nacional_upper,Dia do Herói Nacional (Day off),Dia do Herói Nacional (Day off)_lower,Dia do Herói Nacional (Day off)_upper,Dia do Início da Luta Armada,Dia do Início da Luta Armada_lower,Dia do Início da Luta Armada_upper,Dia do Início da Luta Armada (Day off),Dia do Início da Luta Armada (Day off)_lower,Dia do Início da Luta Armada (Day off)_upper,Dia dos Finados,Dia dos Finados_lower,Dia dos Finados_upper,Dia dos Finados (Day off),Dia dos Finados (Day off)_lower,Dia dos Finados (Day off)_upper,Sexta-feira Santa,Sexta-feira Santa_lower,Sexta-feira Santa_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,school_holiday,school_holiday_lower,school_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2019-12-16,8.28634,2.4003792987330432,12.695514733676987,8.28634,8.28634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09397567500906631,0.09397567500906631,0.09397567500906631,-0.08676338221906119,-0.08676338221906119,-0.08676338221906119,0.0,0.0,0.0,0.00694228131076112,0.00694228131076112,0.00694228131076112,-0.1876813385388886,-0.1876813385388886,-0.1876813385388886,0.0,0.0,0.0,7.567389115382904
1,2019-12-29,8.245634437443744,7.074057693003801,17.061560368969385,8.245634437443744,8.245634437443744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216225,0.0216225,0.0216225,0.207895507339057,0.207895507339057,0.207895507339057,0.4264573816765262,0.4264573816765262,0.4264573816765262,0.0216225,0.0216225,0.0216225,0.17079129839545953,0.17079129839545953,0.17079129839545953,0.026148075942009644,0.026148075942009644,0.026148075942009644,0.0,0.0,0.0,11.762046109897799
2,2020-01-04,8.226847254725472,5.783722533575656,15.627595048756538,8.226847254725472,8.226847254725472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216225,0.0216225,0.0216225,-0.02262495208552262,-0.02262495208552262,-0.02262495208552262,0.2818733795453292,0.2818733795453292,0.2818733795453292,0.0216225,0.0216225,0.0216225,0.12177374593585466,0.12177374593585466,0.12177374593585466,0.16110208569499723,0.16110208569499723,0.16110208569499723,0.0,0.0,0.0,10.545776493418154
3,2020-05-01,7.85736599459946,8.05148986077261,17.513548691935796,7.85736599459946,7.85736599459946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566964,0.0566964,0.0566964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566964,0.0566964,0.0566964,0.2112450294145677,0.2112450294145677,0.2112450294145677,0.6004647052019788,0.6004647052019788,0.6004647052019788,0.0,0.0,0.0,0.038007613544496416,0.038007613544496416,0.038007613544496416,0.29451566224291476,0.29451566224291476,0.29451566224291476,0.0,0.0,0.0,12.575436950210678
4,2020-08-26,7.491015931593159,4.530714097542444,14.077550369462644,7.491015931593159,7.491015931593159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10577754824114463,0.10577754824114463,0.10577754824114463,0.2520565130974777,0.2520565130974777,0.2520565130974777,0.0,0.0,0.0,-0.038848752297866135,-0.038848752297866135,-0.038848752297866135,0.18512771715419923,0.18512771715419923,0.18512771715419923,0.0,0.0,0.0,9.379175286868184
5,2020-09-02,7.4690975517551745,4.656999364114349,14.646677429374725,7.4690975517551745,7.4690975517551745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14663107037372605,0.14663107037372605,0.14663107037372605,0.2735569612850238,0.2735569612850238,0.2735569612850238,0.0,0.0,0.0,-0.038848752297820255,-0.038848752297820255,-0.038848752297820255,0.165774643209118,0.165774643209118,0.165774643209118,0.0,0.0,0.0,9.51232118155473
6,2020-09-03,7.465966354635464,3.8656332703704464,13.40345872952881,7.465966354635464,7.465966354635464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07865461494208666,0.07865461494208666,0.07865461494208666,0.15655729874593804,0.15655729874593804,0.15655729874593804,0.0,0.0,0.0,-0.08723340000001176,-0.08723340000001176,-0.08723340000001176,0.1651360838038632,0.1651360838038632,0.1651360838038632,0.0,0.0,0.0,8.63481787964525
7,2020-09-05,7.459703960396039,3.721811826485966,13.564986194652679,7.459703960396039,7.459703960396039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13446985157258143,-0.13446985157258143,-0.13446985157258143,0.15046418423023816,0.15046418423023816,0.15046418423023816,0.0,0.0,0.0,0.12177374593566863,0.12177374593566863,0.12177374593566863,0.16316028986715092,0.16316028986715092,0.16316028986715092,0.0,0.0,0.0,8.582122231396106
8,2020-09-06,7.456572763276328,3.5086986896655,13.513571025418722,7.456572763276328,7.456572763276328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2109598831792712,-0.2109598831792712,-0.2109598831792712,0.12117832128621296,0.12117832128621296,0.12117832128621296,0.0,0.0,0.0,0.17079129839516116,0.17079129839516116,0.17079129839516116,0.161346906070323,0.161346906070323,0.161346906070323,0.0,0.0,0.0,8.360147733278652
9,2020-09-09,7.447179171917192,2.8717414536161607,12.698429461827264,7.447179171917192,7.447179171917192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07068092754868396,-0.07068092754868396,-0.07068092754868396,0.040590018297094535,0.040590018297094535,0.040590018297094535,0.0,0.0,0.0,-0.038848752298150185,-0.038848752298150185,-0.038848752298150185,0.1501196981439287,0.1501196981439287,0.1501196981439287,0.0,0.0,0.0,7.749460310767053
